carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,IF,D,IDEAL,5.1,5.15,3.2,61.5,57.0,3000.0
0.7,VVS2,E,PREMIUM,5.7,5.7,3.52,62.0,59.0,4500.0
0.75,SI2,H,GOOD,4.3,4.31,2.666,62.3,56.0,700.0
1.2,IF,D,IDEAL,6.82,6.82,4.2,61.7,58.0,10000.0
0.9,I1,J,FAIR,6.0,6.0,3.7,61.7,57.0,2400.0
0.75,SI1,G,VERY GOOD,5.9,5.92,3.63,62.349999999999994,57.0,4200.0
0.5,IF,D,IDEAL,5.1,5.1,3.2,61.5,57.0,3100.0
0.4,VVS1,F,GOOD,4.8,4.79,2.95,62.349999999999994,57.0,1500.0
0.75,SI2,I,GOOD,4.3,4.32,2.666,62.3,57.0,5290.0
1.0,VVS1,F,IDEAL,6.4,6.4,4.0,62.349999999999994,58.0,7500.0
0.5,SI1,COLORLESS,PREMIUM,5.21,5.21,3.21,61.6,58.0,5290.0
0.75,SI2,J,FAIR,5.7,5.71,3.54,62.349999999999994,54.0,2000.0
1.1,VVS1,E,PREMIUM,6.6,6.6,4.08,62.349999999999994,57.0,9200.0
0.55,SI2,H,GOOD,5.3,5.29,3.286,62.0,57.0,1800.0
0.5,SI1,G,VERY GOOD,5.2,5.2,3.2,62.349999999999994,56.0,2300.0
1.0,IF,D,IDEAL,6.5,6.49,4.03,61.7,58.0,5290.0
0.6,SI2,H,GOOD,5.5,5.52,3.41,62.349999999999994,57.0,2200.0
0.7,I1,J,FAIR,5.79,5.79,3.57,61.6,57.0,2100.0
0.75,VVS1,F,IDEAL,6.1,6.15,3.9,61.8,57.0,6000.0
1.3,SI1,G,PREMIUM,6.9,6.9,4.3,63.0,60.0,10500.0
1.4,IF,D,GOOD,7.1,7.12,4.402,62.4,59.0,11000.0
0.75,VVS2,E,GOOD,4.6,4.58,2.85,62.349999999999994,56.0,800.0
0.2,SI1,H,VERY GOOD,3.9,3.89,2.41,62.1,57.0,500.0
0.35,IF,G,IDEAL,4.5,4.52,2.79,61.9,56.0,1300.0
0.75,VVS2,G,GOOD,4.6,4.6,2.83,62.2,57.0,1600.0
0.55,I1,J,PREMIUM,5.4,5.42,3.35,62.1,57.0,2500.0
0.75,VVS1,D,IDEAL,6.7,6.71,4.15,62.349999999999994,58.0,7700.0
